"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-27-9MVH7P59N3Q",0,1,0,1,0,0
"tRF-27-9N15WV7W6S2",2,0,2,0,0,1
"tRF-27-9N1EWJQ72SJ",389,68,609,221,139,105
"tRF-27-9NF5W8E7OM2",30,5,45,12,7,27
"tRF-27-9NF5W8EZOM2",3,0,7,1,1,3
"tRF-27-9NH57S362VL",1,0,0,0,0,0
"tRF-27-9P9P9NH57SJ",0,0,0,0,0,1
"tRF-27-9Q5JK87SHRK",1,0,0,0,0,0
"tRF-27-B4ZPEK45H5J",0,0,0,0,1,0
"tRF-27-BBSQ6KK4RN4",1,0,10,0,0,0
"tRF-27-BE7XO8Q6J6J",11,3,11,6,8,8
"tRF-27-BIUBNXJMFKQ",0,0,0,0,0,2
"tRF-27-D4S0QMR7MO1",0,0,0,0,0,2
"tRF-27-D5EUB4ZPEK3",1,0,0,0,2,0
"tRF-27-D88JE76INB5",0,0,1,0,0,0
"tRF-27-D890YBOZZ73",0,0,6,0,0,0
"tRF-27-D8UJE76INB5",5,1,5,1,0,0
"tRF-27-D8YJE76INB5",94,18,369,34,21,104
"tRF-27-D8YJE76IZB5",26,9,88,21,8,24
"tRF-27-D9W1X6L85JJ",0,0,0,1,0,0
"tRF-27-DE6PFRROWFO",2,0,4,0,0,0
"tRF-27-DS7PLWWJ9X1",0,0,3,0,0,0
"tRF-27-DSJOBZBDZ5H",0,0,3,0,0,0
"tRF-27-DWY2MJ8F81J",1,0,2,0,0,0
"tRF-27-E76INB8PLMK",0,0,5,0,0,1
"tRF-27-EWFMNPSV9NK",0,0,5,0,0,0
"tRF-27-EZ5P1OHE103",1,0,0,0,0,0
"tRF-27-F20O27NXJ41",0,1,0,0,0,0
"tRF-27-F4BDNZ8O6FJ",0,0,5,0,0,0
"tRF-27-F900BY4D84J",1,0,7,1,0,0
"tRF-27-F91SS2P46I3",42,7,4,4,2,4
"tRF-27-F91SS2PMFIQ",2,0,16,0,1,4
"tRF-27-FD2F37YF7D2",0,0,0,0,1,0
"tRF-27-FDXXE6XRK45",4,0,13,1,1,0
"tRF-27-FN7BWU2F5JQ",0,0,7,0,1,0
"tRF-27-FP18LPMBQ43",0,0,1,0,0,0
"tRF-27-FR6LQ6S8V02",1,0,0,0,0,2
"tRF-27-FSXMSL73VL3",4,3,8,0,0,1
"tRF-27-FV7SQWU1O0N",0,2,8,0,0,0
"tRF-27-FW6SF8WO6VP",0,0,8,0,0,0
"tRF-27-H3RXSINHZ4M",2,0,4,2,0,0
"tRF-27-H3S3RX8HWVQ",0,0,7,0,0,0
"tRF-27-H4SXQ3V2Y74",3,0,0,0,1,0
"tRF-27-HDK2RSI2WB1",0,0,7,0,0,0
"tRF-27-HFK3NWB162P",1,0,0,0,0,0
"tRF-27-HFNBDWY2MJ5",1,0,0,0,1,0
"tRF-27-HJ83ML5F823",3,0,10,1,2,0
"tRF-27-HMI8W47W1RN",2,0,10,0,1,0
"tRF-27-HWH3RXSINHQ",3,1,5,1,2,0
"tRF-27-HY0DFKN5OR3",3,0,0,0,0,0
"tRF-27-I2LJQI6IWO5",2,0,0,0,0,0
"tRF-27-I2NIDRIWQ7M",0,1,0,0,0,0
"tRF-27-I2WB0Q37Q52",0,0,20,1,0,0
"tRF-27-I34JRX6N38Q",6,0,16,4,3,3
"tRF-27-I363U0EZY9P",0,0,5,0,0,0
"tRF-27-I3SERXPIN23",2,0,5,2,2,5
"tRF-27-I3VF4YO9XEJ",6,0,40,2,3,5
"tRF-27-I3VF4YOZXEJ",2,1,0,0,0,0
"tRF-27-I8W47W1R7HH",135,20,414,41,33,47
"tRF-27-I9BZBZOS4Y1",7,2,15,0,0,4
"tRF-27-IIZFMQ5JK8N",7,1,9,0,0,0
"tRF-27-IK9NJ4S2I7K",1,0,0,0,0,0
"tRF-27-IKS9KVPKYUI",0,0,7,0,0,0
"tRF-27-IMUF04QZ452",2,1,18,0,1,3
"tRF-27-IP4OI3FJQS3",0,0,0,0,0,2
"tRF-27-ISQI45LSM1K",3,2,63,6,1,21
"tRF-27-ISQIY5LSM1K",0,0,4,0,2,0
"tRF-27-IV1NL33VL85",0,0,0,0,2,0
"tRF-27-J0QXL13XZ5J",0,0,0,0,0,2
"tRF-27-J188FYRE98N",1,0,6,2,0,0
"tRF-27-J8WPMN1E8YN",3,1,0,0,1,1
"tRF-27-JDZXHY13KKN",3,0,8,0,3,7
"tRF-27-JJ6RRNLIK8P",6,1,0,2,1,0
"tRF-27-JK7PP9ZZ052",0,0,11,0,0,0
"tRF-27-JKIKYUY9H3J",0,0,2,0,0,0
"tRF-27-JMRPFQ5DWXI",0,1,9,1,0,0
"tRF-27-JMRPFQJDZXI",8,6,18,7,8,3
"tRF-27-JMRPFQRDWXI",4,0,8,0,1,0
"tRF-27-JN5VF3R3ZVH",1,0,0,0,0,0
"tRF-27-JN5XR4NPNNF",1,0,0,0,0,0
"tRF-27-JQJYSWRYVMK",1,0,2,0,0,0
"tRF-27-JQR7F8YKIRP",6,0,0,2,3,3
"tRF-27-JVZVELXKKS4",0,0,0,0,0,2
"tRF-27-JYSWRYVMMVL",86,12,427,39,23,36
"tRF-27-JYXZX5Q4R9L",0,0,1,0,0,0
"tRF-27-K5I34JRX6NJ",10,1,23,1,1,3
"tRF-27-K84J83ML5FP",3,1,18,0,2,1
"tRF-27-K8UMPLBIUB3",0,0,0,0,1,0
"tRF-27-KF9MVH7P593",55,7,60,2,6,0
"tRF-27-KK761RNNMJM",0,1,7,1,1,0
"tRF-27-KKM1M3WD8SN",0,0,3,0,0,0
"tRF-27-KL7L73V6M7M",1,0,0,0,0,0
"tRF-27-KL9MVH7P593",8,1,14,4,5,3
"tRF-27-KPQJ3KYU4R4",1,0,0,2,0,0
"tRF-27-KQI34JRX6NJ",3,0,7,1,1,0
"tRF-27-KVNMEH623KN",0,0,0,1,0,0
"tRF-27-L85DMKYOYRK",0,0,1,0,0,1
"tRF-27-L85DMKYUYRK",7,2,5,3,0,0
"tRF-27-L981PV6RRNK",5,0,20,1,2,4
"tRF-27-LBDMI2669KQ",0,0,3,0,0,0
"tRF-27-LSM1M3WE8SN",6,0,16,1,2,0
"tRF-27-M0IBB7Z92K1",6,2,3,3,4,3
"tRF-27-M1M3WE8SSP4",0,0,0,1,0,0
"tRF-27-M2OSRNLNKS1",0,0,1,0,0,0
"tRF-27-M3WD8S746D2",2,0,0,1,0,0
"tRF-27-M3WE8S68L52",0,0,0,1,0,0
"tRF-27-M3WE8SSP6D2",0,0,5,2,0,0
"tRF-27-M3WEK6PM852",0,0,6,0,0,0
"tRF-27-M3WEKSPM852",0,0,0,0,0,2
"tRF-27-M4PO73DJS85",0,0,0,2,0,0
"tRF-27-M830MMUKLYL",0,0,0,0,1,0
"tRF-27-M87SDRJRWMM",1,0,0,0,0,0
"tRF-27-M87SFR2W9JM",0,0,0,1,0,0
"tRF-27-M8ZLSSXUOLJ",75,11,509,15,13,47
"tRF-27-MEF91SS2PMH",1,1,0,0,2,0
"tRF-27-MH490VL8K8N",4,2,44,5,4,13
"tRF-27-MI7O3B1NR8Q",1,1,0,0,0,0
"tRF-27-MIF91SS2P44",9,3,49,8,1,7
"tRF-27-MIF91SS2P4H",2,0,9,1,0,0
"tRF-27-MJ8F81KLB52",0,0,6,0,0,1
"tRF-27-MKYUYRLHR0J",1,0,0,0,0,0
"tRF-27-MLHVHBEXBIQ",6,0,13,3,2,4
"tRF-27-MMUKLY5X1IJ",3,1,0,1,0,4
"tRF-27-MMWLBSDEL8N",0,0,0,0,1,0
"tRF-27-MN1E8Y7Z2RH",1,0,7,1,0,0
"tRF-27-MP9P9MH57SJ",0,0,0,1,0,0
"tRF-27-MQ18Y3E7QNN",1,0,0,0,0,0
"tRF-27-N24YDRFU8UN",39,7,334,23,18,75
"tRF-27-N2NYDRFO8UN",0,0,2,0,0,0
"tRF-27-N2NYDRFU8UN",0,0,3,2,0,1
"tRF-27-N3WEK879652",2,0,13,1,0,2
"tRF-27-NDBP1IUUK7O",0,0,0,2,0,0
"tRF-27-NDY8HPDEXKN",5,0,12,2,2,0
"tRF-27-NE88HPDEXKN",0,0,0,1,0,0
"tRF-27-NIEOX6RM53Q",3,1,0,2,1,0
"tRF-27-NLD7B2JK7PM",2,0,0,0,0,0
"tRF-27-NMEH623K76I",1,0,0,0,0,0
"tRF-27-NMVLBP5E38N",0,0,7,2,0,0
"tRF-27-NMWLBP5E38N",5,1,0,0,0,0
"tRF-27-NMZLBP5E38N",3,0,0,0,2,0
"tRF-27-NS56O2Z0R9L",0,0,0,0,0,2
"tRF-27-NYRV50SRRN2",1,0,0,0,0,0
"tRF-27-NYRVU4727OH",0,1,0,0,0,0
"tRF-27-O9JEJB6YMW5",0,0,0,2,0,0
"tRF-27-OB1690PQR3P",54,6,179,17,17,22
"tRF-27-OB9Y7Q078SO",0,0,10,0,0,0
"tRF-27-OB9ZFH690M1",1,0,0,1,0,0
"tRF-27-OMYJZ87ID8P",0,0,1,0,0,0
"tRF-27-OZMEJB5YJ35",0,0,0,1,0,0
"tRF-27-P6U1J0SU9EK",0,0,10,0,0,0
"tRF-27-PHVU6RM38EJ",0,0,6,0,0,0
"tRF-27-PQ5SVP9N155",1,0,0,0,0,0
"tRF-27-PS5P4PW3FJI",1,0,3,0,1,0
"tRF-27-PSQP4PW3FJI",1,0,6,1,0,4
"tRF-27-PU73UKL4OY3",0,0,0,0,1,0
"tRF-27-PU73UKMYOZF",0,0,0,0,0,1
"tRF-27-PY8HM2OSRNK",0,0,3,0,0,0
"tRF-27-PZK0JNORRNK",1,0,2,0,0,0
"tRF-27-Q1Q89P9L842",2,0,3,0,0,0
"tRF-27-Q4PU7340QI4",1,0,0,0,0,0
"tRF-27-Q622EVUIJVJ",1,0,0,0,0,0
"tRF-27-Q6S8V0J6OZQ",16,3,8,11,3,14
"tRF-27-Q72S3HPSR9L",3,1,5,0,0,1
"tRF-27-Q89P9L8422Q",0,1,0,0,0,0
"tRF-27-Q8YUHSQSD2J",0,0,3,0,0,0
"tRF-27-Q8YUYSQSD2J",0,1,0,0,0,0
"tRF-27-Q99P9P9NH5N",2,0,12,1,0,0
"tRF-27-QFH8YJQNMIN",1,0,0,0,0,0
"tRF-27-QI45LSM1M35",8,3,46,6,2,7
"tRF-27-QIWF9W53K8N",2,0,0,0,1,0
"tRF-27-QKYU0RSSX7J",1,0,0,0,0,0
"tRF-27-QP4PW3FJIK1",22,1,51,12,4,17
"tRF-27-QVNRDF7UK8N",0,0,0,1,0,0
"tRF-27-QZPHVU6RM35",0,0,14,0,0,1
"tRF-27-R1JOKP1M58I",3,3,0,2,1,3
"tRF-27-R29P4P9L5H2",5,1,7,2,4,1
"tRF-27-R38E8RO86J2",0,0,0,0,0,1
"tRF-27-R3SJ83RPFVN",0,0,1,0,0,0
"tRF-27-R3WE8RO86J2",2,1,20,3,1,3
"tRF-27-R47673FEWSJ",4,0,0,0,3,0
"tRF-27-R5YLI1539UN",3,0,0,0,0,0
"tRF-27-R718YKISQI3",1,1,20,1,1,0
"tRF-27-R7F8YKIR9NQ",0,0,0,0,1,0
"tRF-27-R7MO0UFMQKQ",0,0,0,1,0,0
"tRF-27-R81XDDZZ4Y1",2,0,12,0,0,2
"tRF-27-R8309NDJ581",0,0,6,0,0,0
"tRF-27-R8WP9I1EWJM",1,0,0,1,1,0
"tRF-27-R8WP9N1EWJM",0,0,0,2,0,0
"tRF-27-RK9P4P9L5HK",0,0,4,1,0,0
"tRF-27-RKVP4P93FJI",0,0,0,0,1,0
"tRF-27-RKVPNPML5FQ",1,0,0,0,0,0
"tRF-27-RNFJE8WYUD2",2,0,0,0,0,0
"tRF-27-RO6WMMWLBSF",0,0,10,0,0,0
"tRF-27-RPD9W1X6L8L",15,6,77,12,3,7
"tRF-27-RS9NS334L2I",3,0,25,1,0,0
"tRF-27-RVULE1D3L8N",1,0,0,1,0,0
"tRF-27-RW18V6XO59J",0,0,11,0,0,0
"tRF-27-RX1HZ2NO5RF",0,0,0,0,0,2
"tRF-27-RX6NMH490VK",0,0,4,0,0,0
"tRF-27-S2I7L7P5QKH",8,6,93,5,4,8
"tRF-27-S8V0J8O9YEJ",8,0,16,4,3,1
"tRF-27-S8V0JUO9YE3",0,0,0,1,0,0
"tRF-27-SERXPIN2NYF",0,0,8,2,1,0
"tRF-27-SL735L8RPY5",1,0,0,0,2,0
"tRF-27-SL73VL4YMYP",1,1,0,0,0,0
"tRF-27-SVRNLMKWEKJ",1,0,0,0,0,0
"tRF-27-SW5NLM45EKM",0,1,0,1,0,0
"tRF-27-SWRNLJK578M",0,0,0,1,0,0
"tRF-27-SWRYVMMV5BO",0,0,3,0,2,2
"tRF-27-SX73V2Y8L95",2,0,0,0,0,0
"tRF-27-U1J0SU9ELBJ",1,0,0,0,0,0
"tRF-27-U47P299DWUI",11,3,94,8,5,24
"tRF-27-U47P299DZUI",1,0,0,0,1,2
"tRF-27-U5XBINVDRI2",1,0,0,0,0,0
"tRF-27-UBNOBZUP824",0,0,7,0,0,0
"tRF-27-UE02K0F78BM",0,0,0,0,1,0
"tRF-27-UJE76INB8PK",0,0,4,0,0,0
"tRF-27-UZXL5LDOV2M",0,0,6,0,0,0
"tRF-27-V29K9UV3654",22,2,125,7,10,11
"tRF-27-V470VR3196K",1,1,5,2,2,2
"tRF-27-V47P596VW6J",4,0,3,1,6,0
"tRF-27-V47PU9XW98J",10,0,24,1,1,12
"tRF-27-V47PVR3196K",0,0,4,0,0,0
"tRF-27-V47Q2WW18FK",0,0,7,1,1,0
"tRF-27-V4QP596VZ6J",2,0,0,2,0,0
"tRF-27-V4V47Q2QNIQ",1,0,0,0,0,0
"tRF-27-V4V47Q2WNIQ",51,9,4,4,8,5
"tRF-27-V4VH7Q2WNIQ",0,1,0,2,0,0
"tRF-27-V8WPMN1E8YN",2,0,0,1,0,0
"tRF-27-VF4YO9XEKJL",0,0,0,0,1,3
"tRF-27-VH7P59N3Z6J",1,1,0,0,0,0
"tRF-27-VIJMRPFQJDQ",5,0,3,0,2,4
"tRF-27-VIJMRPFQRD5",34,6,62,10,6,3
"tRF-27-VIPZK0JNOR4",1,0,0,0,0,0
"tRF-27-VIVHS2PNXIM",4,0,7,1,3,3
"tRF-27-VJFVSPW6UMP",0,0,8,0,0,0
"tRF-27-VKS4I7MN93J",0,0,5,0,0,0
"tRF-27-VW3H93WBK63",0,0,3,0,0,0
"tRF-27-W1X6L85J3KQ",2,0,2,0,0,0
"tRF-27-W3FJHPEZUMP",2,1,17,3,5,0
"tRF-27-W3FJI0E7UM5",1,0,8,1,2,0
"tRF-27-W3FJIKE7UM5",0,0,13,0,0,1
"tRF-27-W3FJIKE7UMJ",10,2,0,12,4,2
"tRF-27-W47W1R7HFE1",0,0,4,0,0,1
"tRF-27-W4R951KHZKK",1,0,2,1,2,0
"tRF-27-W631QJ3KYUQ",4,0,0,2,0,0
"tRF-27-W6UMX0SW5NK",0,0,3,0,0,0
"tRF-27-W7WK6WRNLEJ",0,0,1,0,0,0
"tRF-27-W8E7OMJHHSH",9,3,48,8,2,22
"tRF-27-WHR95R3LMJ2",3,0,14,0,1,0
"tRF-27-WIWK9U53K8N",0,0,6,0,0,0
"tRF-27-WIZKXU53K8N",0,0,4,0,0,0
"tRF-27-WJ9X0UD394N",12,5,12,10,8,7
"tRF-27-WJ9XEUD394N",0,0,3,1,1,0
"tRF-27-WJQ72S3HPS4",2,0,22,2,2,2
"tRF-27-WLV47PU9XWP",0,0,0,1,0,0
"tRF-27-WN1Q18X3HRK",1,0,0,0,0,1
"tRF-27-WP7SER9I69M",0,0,0,0,0,2
"tRF-27-WP9N1EWJQ72",1,0,0,1,0,2
"tRF-27-WPMN1E8Y7Z2",0,0,0,0,0,1
"tRF-27-WSNYRV50SR4",0,0,0,0,1,0
"tRF-27-WUH6QE30YOI",0,0,7,0,0,1
"tRF-27-WUH6QE30YUN",0,0,0,1,0,0
"tRF-27-WURMJKYQSRP",0,0,0,1,0,0
"tRF-27-XENDBP1IUUJ",1,0,0,0,1,0
"tRF-27-XIP2801M38Q",1,0,6,0,1,0
"tRF-27-XIP2801MK8Q",0,1,4,0,0,1
"tRF-27-XIW282FN5KQ",0,0,0,3,1,0
"tRF-27-XIW282FNPKQ",1,0,0,0,2,0
"tRF-27-XMSL73VL4YK",2,0,13,2,2,3
"tRF-27-XN3282FN5KQ",1,1,0,0,1,0
"tRF-27-XSXMSL73VL3",80,21,224,54,26,58
"tRF-27-XY4IDVJKW0N",1,0,0,0,0,0
"tRF-27-XZU5P21MNKQ",0,1,0,0,0,0
"tRF-27-XZX5S4113KQ",1,2,11,1,1,3
"tRF-27-Y3H3RXSMKV3",0,0,8,0,0,0
"tRF-27-Y6R9O9NJ9IK",2,0,0,1,0,0
"tRF-27-Y8L981PV6R4",5,2,63,2,2,10
"tRF-27-Y8NNBSBKZ34",0,1,2,0,0,0
"tRF-27-Y91293WEW6O",1,0,2,0,0,0
"tRF-27-Y9PYKHM26R4",0,0,0,0,1,1
"tRF-27-YJE76INB8PK",3,0,133,4,2,10
"tRF-27-YJZ87ID890Q",0,0,0,1,0,0
"tRF-27-YKIR9NY5KKP",0,0,10,0,0,0
"tRF-27-YKISQI45LSK",0,0,2,0,0,0
"tRF-27-YONONU3IND2",176,25,1227,100,54,367
"tRF-27-YQHQ9M739P5",0,0,3,0,0,0
"tRF-27-Z34KRQ59WI5",2,0,0,0,0,0
"tRF-27-Z34KRQ59WIQ",1,0,0,0,0,0
"tRF-27-Z3M8ZLSSXUL",3329,506,6924,1782,1231,1307
"tRF-27-Z4R95MKM9KP",1,0,0,0,0,1
"tRF-27-Z6EXEY0VWUJ",41,8,202,10,7,26
"tRF-27-Z6KPQJ3KYU3",1,0,0,0,0,0
"tRF-27-ZDXPHO53KSN",30,5,127,17,19,23
"tRF-27-ZDXPHO53KYN",0,0,10,0,0,3
"tRF-27-ZEP27K7ZP3J",0,0,8,0,0,0
"tRF-27-ZFR95MN1Q3K",0,0,0,0,0,2
"tRF-27-ZJ9XEOD394N",0,1,0,0,0,0
"tRF-27-ZUNF56FK8R4",1,0,0,0,0,0
"tRF-28-04SXQ3V2Y7DZ",6,2,9,0,0,2
"tRF-28-08R959KUMK9",2,0,0,0,0,0
"tRF-28-08R9D9KUMK9",1,0,0,0,0,0
"tRF-28-0IOB9ZFH69U",1,0,0,1,0,0
"tRF-28-14PU73UKL4DR",0,1,6,2,0,0
"tRF-28-18YKISQI45DM",0,0,0,3,1,5
"tRF-28-1E6SF8WO6V0M",0,0,0,1,1,1
"tRF-28-1ER37E14PHDS",4,0,0,0,0,0
"tRF-28-1EWJQ72S3HDV",5,3,26,2,2,0
"tRF-28-1FNJ47D1120P",0,0,0,0,0,1
"tRF-28-1HPSR9O93300",5,0,8,1,3,1
"tRF-28-1SS2P46INO0J",17,0,72,13,2,10
"tRF-28-1SS2P4FINO03",1,1,0,1,2,0
"tRF-28-1SS2PMFIZO03",1,0,0,0,1,0
"tRF-28-1WZ4RZDMKNDZ",0,0,5,0,0,0
"tRF-28-1Y62QNFIO203",0,0,0,0,3,2
"tRF-28-1YIF54RNZF0D",1,0,0,0,0,0
"tRF-28-1YIPRVYJ9XW",6,1,11,0,0,3
"tRF-28-21W3WB8US5D9",3,0,0,0,0,0
"tRF-28-24OUQHN2N77",0,0,6,0,0,0
"tRF-28-299DWUH6QEDK",0,0,8,0,0,0
"tRF-28-2L2YBE7XO8DW",0,0,6,0,0,0
"tRF-28-2MRXQHY8NNR",0,0,8,0,0,0
"tRF-28-2QR7F8YKIR04",4,0,7,0,0,1
"tRF-28-2R1HPSR9O9DK",1,0,0,0,0,0
"tRF-28-2S3HPSR959DK",10,1,42,7,2,6
"tRF-28-2VF0S7RNLJDJ",1,0,0,0,0,0
"tRF-28-2YBE7XO8Q6DI",1,0,0,0,1,0
"tRF-28-2YU04DYJIOD3",10,1,6,6,3,6
"tRF-28-31QJ3KYUYRDZ",1,0,0,1,0,0
"tRF-28-325UB1ZZK0DR",4,0,0,1,0,0
"tRF-28-32VIJMRPFQDH",1,0,5,0,2,4
"tRF-28-33DSJOBZBD0Q",0,0,0,1,0,0
"tRF-28-38YU8SRZMFD2",1,0,0,0,0,0
"tRF-28-3H91U45O6WDP",2,0,0,0,0,1
"tRF-28-3HPSR95933DH",2,1,0,0,0,0
"tRF-28-3JVIJMRPFQDS",2,1,11,2,2,0
"tRF-28-3JVIJMRPFQDY",24,2,23,8,5,17
"tRF-28-3K7SIR3DR2DV",1,0,0,0,2,0
"tRF-28-3KYU8RFQ46D2",0,0,0,0,1,0
"tRF-28-3KYUYR66EFD2",0,0,5,0,0,0
"tRF-28-3L7273V6M9DV",1,0,0,0,0,0
"tRF-28-3L7L73J6M9DV",30,6,51,7,1,15
"tRF-28-3W43BF628YDZ",0,1,0,0,0,0
"tRF-28-3W4WBF628YDZ",1,0,0,0,0,1
"tRF-28-436X6NMHN9V",0,0,0,0,0,1
"tRF-28-43RX6NMH49V",3,2,34,1,1,6
"tRF-28-45DBNIB9I1DJ",2,0,7,0,0,0
"tRF-28-490VL8K87SDE",1,1,8,0,0,1
"tRF-28-4J83ML5F92D5",0,1,6,0,0,1
"tRF-28-4JRX6N38Z9V",0,0,7,0,0,0
"tRF-28-4PZ3FJHPEZ0F",1,0,0,0,0,0
"tRF-28-4YO9XEKJ5RDS",5,1,71,1,0,18
"tRF-28-54QFQ2FWQ8DV",1,0,0,0,0,0
"tRF-28-56O2YXR9O9DP",0,0,0,1,0,0
"tRF-28-587SI7JP8XDV",1,0,0,0,0,0
"tRF-28-58HUB689XXD2",0,0,3,0,0,0
"tRF-28-58RW5P7JE2D6",0,0,6,0,0,1
"tRF-28-596VW631QJDK",5,3,50,7,8,4
"tRF-28-59N3Z6KPQJDK",1,0,0,1,0,0
"tRF-28-59V3WD8YQ8D5",0,0,0,1,0,0
"tRF-28-5BKD09Z51UD2",3,1,0,1,0,5
"tRF-28-5DMKYUYRLHDY",1,0,0,0,0,0
"tRF-28-5O6Q918XF6DY",0,0,2,0,0,0
"tRF-28-5P4PW3FJHPW",0,0,6,0,0,0
"tRF-28-5SVP9N15WV0E",2,3,0,0,0,0
"tRF-28-5Z2IUIX1Q7DR",3,0,34,1,3,6
"tRF-28-62XB0ZZRD2D1",1,0,0,0,0,0
"tRF-28-64R4XLR828X",2,0,0,0,0,0
"tRF-28-6978WP9LXND5",7,0,10,3,0,0
"tRF-28-6LQ6S8V0J6DR",2,0,1,1,0,0
"tRF-28-6NMH490VL8DJ",12,6,43,24,11,3
"tRF-28-6NMHN90VL8DJ",1,0,2,1,0,0
"tRF-28-6QJ188FYRE0N",0,0,0,0,1,0
"tRF-28-6RRNLIK898D6",1,0,0,0,0,0
"tRF-28-6VDS7PLWWJ0N",0,0,0,0,0,1
"tRF-28-6VW631QJ3K05",2,0,17,0,1,4
"tRF-28-6XQ6S8V0J8DR",25,3,36,9,4,17
"tRF-28-6YMWWB8HWK0D",1,0,0,0,0,0
"tRF-28-727OFIZ9WUD2",13,2,48,0,4,4
"tRF-28-73436X6NMHDQ",1,0,0,0,0,0
"tRF-28-7343RX6NMHD5",3,1,11,2,1,1
"tRF-28-73V2Y8L981DV",12,3,41,7,8,10
"tRF-28-78WPRLXN4V0Q",2,0,0,0,0,0
"tRF-28-79MP909NH50E",0,0,2,0,0,0
"tRF-28-79MP9P9MH50E",3,0,3,0,0,0
"tRF-28-79MP9PMNH5DE",1,0,1,0,0,5
"tRF-28-7EMQ18Y3E7D8",13,0,37,5,1,2
"tRF-28-7JPDRPLWND0J",0,1,0,0,0,0
"tRF-28-7KYUHR07MSD2",0,1,0,0,0,0
"tRF-28-7KYUHRH7MSD2",4,3,17,1,7,0
"tRF-28-7O58J0K8UMDU",1,0,4,2,0,1
"tRF-28-7P299DWUH6D8",10,1,266,2,1,5
"tRF-28-7P299DZUH6D8",0,0,0,0,1,0
"tRF-28-7P596VW631D8",0,0,4,0,0,0
"tRF-28-7P59N3Z6KP00",0,0,29,0,1,2
"tRF-28-7PU9XW983FDU",0,0,8,0,0,0
"tRF-28-7PVP941QKSD3",0,1,0,0,0,0
"tRF-28-7RRNL3K8M00K",1,0,0,0,0,0
"tRF-28-7UXP18RZXP0J",4,0,0,0,0,0
"tRF-28-7XBOBUIEYUD5",0,0,0,1,0,0
"tRF-28-81JJ6RRNLIDJ",0,0,4,0,0,0
"tRF-28-81PV6RRNLNDJ",0,0,7,0,0,0
"tRF-28-82NZD75K8PDZ",0,0,0,1,0,0
"tRF-28-83ML5F82NZ7",0,0,0,1,0,0
"tRF-28-83ML5F924Z7",0,0,5,1,0,2
"tRF-28-83ML5FX24Z7",0,0,8,0,1,1
"tRF-28-86J8WPMN1E0J",397,59,3273,153,116,302
"tRF-28-86V8WPMN1E0J",176,23,1225,98,58,157
"tRF-28-87R95RM3Y8D1",0,0,0,0,2,0
"tRF-28-887S1RMH5MDV",0,0,5,0,0,0
"tRF-28-897PVP941QDJ",2,0,7,1,0,0
"tRF-28-897PVP9N1QDJ",2,0,0,0,0,0
"tRF-28-8FFDXXE6XRD2",2,0,0,0,0,1
"tRF-28-8L8NRS9NS3DK",1,0,11,0,0,0
"tRF-28-8LHYD3MU7S9",0,0,3,0,0,2
"tRF-28-8PR9DM3WWKDM",12,0,16,1,2,0
"tRF-28-9154SX1HN20Q",2,0,0,0,0,0
"tRF-28-93R918VBY9DV",5,1,7,0,1,0
"tRF-28-94SX73V2Y8DM",2,0,0,0,0,0
"tRF-28-94SX7JV2Y8DM",5,3,0,2,3,0
"tRF-28-9DWUH6QE3005",1,0,3,0,0,0
"tRF-28-9IMYSX73IE03",0,0,0,0,1,0
"tRF-28-9JKL0653L4D7",0,0,15,0,1,7
"tRF-28-9LON4VN1EHDX",4,1,22,0,1,3
"tRF-28-9M739P8WQ07",73,10,537,20,8,50
"tRF-28-9MV47P596V03",1,3,0,2,1,0
"tRF-28-9MV4QP596V0Q",1,0,0,0,0,0
"tRF-28-9MVH7P59N30Q",2,0,5,0,1,1
"tRF-28-9NF5W8E7OMDH",0,1,0,0,0,0
"tRF-28-9O9NF5W8EZD6",2,0,0,1,0,0
"tRF-28-9OHXDD1KYKD3",0,0,0,0,0,1
"tRF-28-9P4P9L5HJV0Q",0,0,0,2,0,0
"tRF-28-9XEO7N987XZ",1,0,0,0,0,0
"tRF-28-9Y7Q078SUXD2",0,0,18,0,0,0
"tRF-28-9Z7KZOSRI803",2,0,0,0,0,0
"tRF-28-BE7XO8Q6J6DJ",3,0,8,4,1,1
"tRF-28-BJ8FFDXXE60M",0,0,5,0,0,0
"tRF-28-D0B601WZ03DR",6,2,2,7,2,3
"tRF-28-D50PWYUDM0D0",0,0,7,0,0,0
"tRF-28-D5EUB4ZPEKD5",1,1,7,0,1,1
"tRF-28-D7OOJ0QXL1D3",1,0,0,0,1,0
"tRF-28-D890YBOZZ7DP",4,0,4,0,2,0
"tRF-28-D8E0LV9DYXDD",4,0,0,0,1,1
"tRF-28-D8UJE76INB0J",1,0,0,0,0,0
"tRF-28-D8YJE76INB0J",6,1,37,4,1,7
"tRF-28-D8YJE76IZB0J",0,0,7,1,2,0
"tRF-28-DBNIB9I1KQ0D",10,1,47,2,6,16
"tRF-28-DFQ9B1XSRI0J",2,0,5,1,0,0
"tRF-28-DI2OOIQO4QDV",4,0,0,1,0,0
"tRF-28-E07JL3RX1HD0",1,0,0,0,0,0
"tRF-28-E76INB8PLMDL",1,0,6,0,2,5
"tRF-28-EK45H5KQBFD2",7,0,5,1,0,0
"tRF-28-EZU05OJIH60P",0,0,0,1,0,0
"tRF-28-F1R3WE8RO8DX",0,0,2,0,0,0
